course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AASP320,Cecily Hardaway,14,10,16,7,3,7,3,2,2,0,1,0,0,2,0
AASP340,John Drabinski,2,14,4,2,0,0,0,2,0,0,0,0,0,1,0
AASP350,John Drabinski,1,10,7,2,2,0,0,0,0,0,0,0,0,0,1
AASP360,Sangeetha Madhavan,3,3,1,1,3,1,0,0,0,0,0,0,0,3,6
AASP370,John Drabinski,10,9,1,4,0,7,0,0,0,0,0,0,0,1,0
AASP377,John Drabinski,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
AASP386,Marshal Washington,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0
AASP386,Valencia Skeeter,0,7,1,1,0,0,0,0,0,0,0,0,0,0,3
AASP395,Caryn Bell,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
AASP395,Cecily Hardaway,1,4,7,2,3,4,1,4,5,0,1,0,1,0,3
AASP395,Gniesha Dinwiddie,0,4,3,2,4,0,0,0,0,0,1,0,1,5,3
AASP396,Angel Dunbar,3,5,3,1,2,2,0,0,0,0,0,1,3,3,0
AASP396,Joseph Richardson,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
AASP396,Sangeetha Madhavan,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1
AASP396,Sharon Harley,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1
AASP398B,Beka Guluma,1,2,2,0,1,0,0,0,0,0,0,1,0,1,1
AASP398B,Chinyere Osuji,2,3,1,1,0,2,5,0,0,0,0,1,4,6,0
AASP398B,David Terry,14,20,29,12,7,7,1,3,0,1,1,0,2,7,1
AASP398D,Sangeetha Madhavan,0,11,6,4,14,13,1,6,3,0,0,0,2,2,0
AASP398G,Sharon Harley,11,23,19,30,26,16,13,10,7,2,0,0,6,23,14
AASP398P,George Kintiba,7,12,7,4,1,2,2,0,0,0,0,0,1,1,0
AASP398Q,Robert Choflet,15,158,95,38,48,11,2,10,4,0,2,0,22,33,41
AASP398U,John Drabinski,0,10,0,1,0,0,0,2,0,0,0,0,0,4,0
AASP398Z,George Kintiba,12,18,12,6,1,2,2,0,0,0,0,0,0,1,2
AASP400,Chinyere Osuji,0,3,2,1,1,2,2,1,0,0,0,0,0,2,0
AASP400,Jason Nichols,2,5,2,1,1,0,0,0,1,0,0,0,0,4,0
AASP400,Sangeetha Madhavan,0,4,2,6,2,1,1,2,1,0,2,0,2,7,0
