course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
BMGT808I,Katherine Stewart,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808J,Anand Gopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BMGT808J,Lauren Rhue,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808K,Balaji Padmanabhan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
BMGT808K,Guodong Gao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BMGT808M,Robert Windle,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
BMGT808O,Henry Lucas,0,2,7,0,1,0,0,0,0,0,0,0,0,0,1
BMGT808O,Sunil Mithas,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
BMGT808P,Guodong Gao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT808P,Sunil Mithas,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
BMGT808Q,Kunpeng Zhang,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808R,Il-Horn Hann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
BMGT808R,Ritu Agarwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT808R,Siva Viswanathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BMGT808R,Sivakumar Viswanathan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80
BMGT808T,Amna Khawaja,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0
BMGT808V,Oliver Kim,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808V,Peng Huang,0,23,1,2,3,0,0,0,0,0,0,0,0,0,1
BMGT808W,Il-Horn Hann,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808W,Jui Ramaprasad,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT808W,Rebecca Hamilton,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
BMGT808W,Ritu Agarwal,0,2,3,0,1,0,0,0,0,0,0,0,0,0,5
BMGT808X,Kunpeng Zhang,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT808Y,Jessica Clark,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818B,Michael Kimbrough,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818B,Musa Subasi,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
BMGT818B,Rebecca Hann,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818D,Nicholas Seybert,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818G,Emanuel Zur,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818G,Lawrence Gordon,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
BMGT818M,Emanuel Zur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT818N,Emanuel Zur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BMGT818N,Musa Subasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BMGT818R,Emanuel Zur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
BMGT818R,Lawrence Gordon,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
BMGT818R,Michael Kimbrough,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8
BMGT818R,Nicholas Seybert,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818R,Tharinda W Ranasinghe,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818T,Sean Cao,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT818Y,Emanuel Zur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT818Y,Michael Kimbrough,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT828C,Robert Windle,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT828E,Waverly Ding,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT828F,Russell Wermers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT828G,Michael Trusov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT828J,Il-Horn Hann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BMGT828K,Rhonda Reger,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0
BMGT828L,Brent Goldfarb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT828M,Michel Wedel,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1
BMGT828N,Lawrence Gordon,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT828R,Subrahmaniam Tangirala,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
BMGT830,Michael Fu,0,3,8,1,7,3,0,0,0,0,0,0,0,0,0
BMGT830,Raghu Raghavan,10,6,9,5,3,3,1,0,0,0,0,0,0,2,1
BMGT830,Subramanian Raghavan,13,7,14,16,8,1,1,0,0,0,0,0,0,0,0
BMGT831,Bruce Golden,10,16,14,14,8,7,0,0,0,0,0,0,0,1,6
BMGT833,Michael Ball,2,25,12,6,6,4,0,0,0,0,0,0,0,0,6
BMGT834,Ilya Ryzhov,2,8,7,6,9,3,0,0,0,0,0,0,0,1,1
BMGT834,Michael Fu,3,20,7,7,8,9,0,0,0,0,0,0,0,0,10
BMGT835,Michael Fu,0,18,7,0,12,2,0,0,0,0,0,0,0,0,8
BMGT836,Courtney Paulson,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
BMGT836,Francis Alt,6,11,9,3,3,1,0,0,0,0,0,0,0,3,2
BMGT837,Francis Alt,8,20,7,0,0,1,0,0,0,0,0,0,0,0,0
BMGT838E,Ilya Ryzhov,1,11,5,3,5,0,0,0,0,0,0,0,0,1,15
BMGT838I,Zhi-Long Chen,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3
BMGT838M,Ashish Kabra,3,6,6,2,0,0,0,0,0,0,0,0,0,1,3
BMGT838O,Wedad Elmaghraby,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
BMGT838R,Wedad Elmaghraby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BMGT838R,Zhi-Long Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BMGT840,Albert Kyle,0,3,4,2,3,3,0,0,0,0,0,0,0,1,1
BMGT840,Kerry Back,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1
BMGT840,Yajun Wang,0,10,7,6,13,0,0,0,0,0,0,0,0,0,2
BMGT840,Yueyang Han,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
BMGT841,Lemma Senbet,0,4,2,0,2,0,0,0,0,0,0,0,0,0,2
BMGT841,Maria Bustamante,0,9,3,3,1,0,0,0,0,0,0,0,0,0,5
BMGT841,Richmond Mathews,0,3,6,0,0,0,0,0,0,0,0,0,0,0,10
BMGT843,Mark Loewenstein,0,22,4,1,3,0,0,0,0,0,0,0,0,0,2
BMGT848A,Laurent Fresard,0,9,1,2,0,0,0,0,0,0,0,0,0,1,1
BMGT848B,Michael Faulkender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BMGT848B,Russell Wermers,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT848B,Shrihari Santosh,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BMGT848E,Gurdip Bakshi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT848F,Liu Yang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT848F,Maria Bustamante,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BMGT848F,William Mullins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BMGT848F,Yueyang Han,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
BMGT848K,Lemma Senbet,0,3,2,1,1,0,0,0,0,0,0,0,0,0,5
BMGT848M,Albert Kyle,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT848O,Agustin Hurtado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT848P,Juha Joenvaeaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT848R,Richmond Mathews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT848T,Maria Bustamante,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
BMGT858C,Amna Khawaja,0,5,8,2,4,0,0,0,0,0,0,0,0,1,1
BMGT858C,Amna Kirmani,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1
BMGT858D,Joydeep Srivastava,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
BMGT858G,Bo Zhou,4,4,1,0,0,0,0,0,0,0,0,0,0,0,2
BMGT858G,David Godes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT858J,Liye Ma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BMGT858J,Tao Chen,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
BMGT858L,Pallassana Kannan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT858L,Roland Rust,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0
BMGT858P,Pallassana Kannan,0,4,2,0,0,0,0,0,0,0,0,0,0,1,5
BMGT858R,Ali Faraji-Rad,6,8,0,0,0,0,0,0,0,0,0,0,0,0,4
BMGT858R,Bo Zhou,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT858R,Bruno Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT858R,Jason Choi,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT858R,Lingling Zhang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BMGT858R,Liye Ma,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT858R,Pallassana Kannan,0,19,0,0,0,0,0,0,0,0,0,0,0,0,10
BMGT858R,Tao Chen,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT858R,Yajin Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT858W,Bruno Jacobs,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3
BMGT858W,Michel Wedel,6,3,5,3,1,0,0,0,0,0,0,0,0,0,0
BMGT868A,Vijaya Venkataramani,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0
BMGT868B,Gilad Chen,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868C,David Kirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
BMGT868C,David Waguespack,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11
BMGT868C,Gilad Chen,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868C,Hui Liao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT868C,Jennifer Marr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT868C,Rajshree Tronetti,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT868C,Vijaya Venkataramani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BMGT868D,Rellie Rozin,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868E,Myeong-Gu Seo,0,9,5,2,1,0,0,0,0,0,0,0,0,0,6
BMGT868F,Gilad Chen,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
BMGT868G,Gilad Chen,0,9,0,0,0,0,0,0,0,0,0,0,0,1,11
BMGT868J,Subrahmaniam Tangirala,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868K,Debra Shapiro,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1
BMGT868L,Kathryn Bartol,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2
BMGT868L,Vijaya Venkataramani,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1
BMGT868M,Hui Liao,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
BMGT868N,Vijaya Venkataramani,0,10,2,0,1,0,0,0,0,0,0,0,0,0,2
BMGT868O,Subrahmaniam Tangirala,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868P,Hui Liao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BMGT868P,Myeong-Gu Seo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT868P,Rajshree Tronetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BMGT868P,Subrahmaniam Tangirala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BMGT868P,Vijaya Venkataramani,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33
BMGT868R,Gilad Chen,0,18,5,1,1,1,0,0,0,0,0,0,0,0,0
BMGT868T,Kathryn Bartol,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868V,Hui Liao,0,13,0,0,0,0,0,0,0,0,0,0,0,1,2
BMGT868W,Trevor Foulk,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT868X,Jennifer Marr,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0
BMGT878B,Christine Beckman,0,3,3,1,1,0,0,0,0,0,0,0,0,0,5
BMGT878C,Cristian Dezso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BMGT878C,David Kirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BMGT878C,Evan Starr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BMGT878C,Rachelle Sampson,0,0,0,0,0,0,0,1,0,0,0,0,0,1,44
BMGT878C,Ryan Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BMGT878C,Yue Zhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT878D,Serguey Braguinsky,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT878E,David Kirsch,5,10,15,2,1,1,0,0,0,0,0,0,0,1,2
BMGT878E,Rajshree Tronetti,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0
BMGT878F,Waverly Ding,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15
BMGT878I,Rajshree Agarwal,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0
BMGT878I,Rajshree Tronetti,2,4,4,1,1,0,0,0,0,0,0,0,0,2,8
BMGT878J,Anil Gupta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BMGT878L,Brent Goldfarb,0,7,7,0,0,0,0,0,0,0,0,0,0,0,3
BMGT878M,Serguey Braguinsky,5,10,3,1,0,0,0,0,0,0,0,0,0,2,0
BMGT878N,Anil Gupta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
BMGT878O,Rachelle Sampson,0,5,2,0,0,0,0,0,0,0,0,0,0,0,7
BMGT878O,Ryan Cooper,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0
BMGT878P,Brent Goldfarb,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BMGT878P,Christine Beckman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BMGT878P,Rajshree Agarwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BMGT878P,Rajshree Tronetti,0,6,0,0,1,0,0,0,0,0,0,0,0,0,89
BMGT878P,Waverly Ding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BMGT878Q,Adina Dabu,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
BMGT878Q,Christine Beckman,1,9,8,4,0,0,0,0,0,0,0,0,0,0,0
BMGT878Q,Serguey Braguinsky,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT878R,David Waguespack,0,27,0,0,0,0,0,0,0,0,0,0,0,1,1
BMGT878T,David Kirsch,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23
BMGT878X,Brent Goldfarb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BMGT878Y,Evan Starr,2,5,1,0,0,0,0,0,0,0,0,0,0,0,5
BMGT878Z,Bennet Zelner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BMGT881,Francis Alt,4,6,3,2,2,0,0,0,0,0,0,0,0,0,1
BMGT881,Rui Zhao,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT882,Francis Alt,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888B,Stephanie Eckerd,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0
BMGT888B,Wilbur Chung,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888E,Thomas Corsi,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888I,Curtis Grimm,1,15,10,0,0,0,0,0,0,0,0,0,0,1,1
BMGT888I,Rachelle Sampson,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0
BMGT888I,Wilbur Chung,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0
BMGT888L,Martin Dresner,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BMGT888M,Wilbur Chung,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888P,Cristian Dezso,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888W,Curtis Grimm,0,28,2,0,0,0,0,0,0,0,0,0,0,2,7
BMGT888W,Martin Dresner,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0
BMGT888W,Robert Windle,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888W,Stephanie Eckerd,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BMGT888Y,Curtis Grimm,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1
BMSO600,Maria Bardossy,15,37,31,16,22,8,6,7,4,0,0,0,8,33,1
BMSO601,John Bono,15,36,40,23,16,12,4,0,4,0,0,0,4,28,3
BMSO602,Suresh Acharya,4,28,20,12,11,3,4,0,1,0,0,0,1,4,1
BMSO603,Kislaya Prasad,7,21,9,12,21,4,1,0,0,0,0,0,2,4,2
BMSO758A,Michael Trusov,2,16,8,17,23,0,0,1,0,0,0,0,0,0,0
BMSO758A,Pallassana Kannan,3,3,7,4,11,1,0,0,0,0,0,0,0,0,0
BMSO758B,David Waguespack,0,39,21,16,7,0,0,0,0,0,0,0,0,0,0
BMSO758C,Michelle Dugas,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0
BMSO758D,Kenyon Crowley,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
BMSO758E,Michel Wedel,8,12,9,9,8,5,0,0,0,0,0,0,0,1,0
BMSO758F,Paul Soto,16,10,1,2,5,0,0,0,0,0,0,0,0,3,0
BMSO758G,Pallassana Kannan,7,18,3,3,0,0,0,0,0,0,0,0,0,0,0
BMSO758M,Mary Beth Furst,14,20,11,5,2,1,0,0,0,0,0,0,0,0,0
BMSO758N,Progyan Basu,0,11,7,0,3,0,0,2,0,0,0,0,0,2,0
BMSO758P,John Bono,3,1,7,1,2,1,1,2,0,0,0,0,0,6,0
BMSO758Q,Kunpeng Zhang,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0
BMSO758R,Philip Evers,3,11,0,1,4,0,0,0,0,0,0,0,1,2,0
BMSO758V,Bharti Motwani,2,3,2,1,1,3,0,0,0,0,0,0,0,3,0
BMSO778A,Progyan Basu,3,11,2,2,2,3,0,0,0,0,0,0,0,2,0
BMSO778B,Jui Ramaprasad,0,5,12,13,3,2,0,1,0,0,1,0,0,2,0
BMSO778C,Sarah Wolek,31,7,2,1,0,1,0,2,0,0,0,0,0,2,0
BMSO778D,Sujin Kim,0,4,10,7,3,2,1,0,0,0,0,0,0,1,1
BMSO778E,Roy Thomason,0,32,0,0,0,1,1,0,0,0,0,0,2,2,0
BMSO778F,Susan White,0,8,4,1,3,2,0,4,0,0,1,0,0,2,0
BMSO778G,Anil Gupta,0,6,6,7,5,7,3,2,0,0,1,0,1,2,0
BMSO778J,Oliver Schlake,0,13,9,10,3,2,0,0,0,0,0,0,1,2,0
BMSO778L,Roy Thomason,12,12,6,0,0,0,0,0,0,0,0,0,0,4,0
BMSO778M,Mary Beth Furst,3,2,9,6,8,1,1,0,0,0,0,0,0,4,0
BMSO778N,Rellie Rozin,1,6,9,8,0,0,0,0,0,0,0,0,0,2,0
BMSO778O,Myeong-Gu Seo,0,3,12,12,3,1,0,0,0,0,0,0,0,2,0
BMSO778P,Jon Crocker,0,8,9,8,5,0,1,0,0,0,0,0,3,5,0
BSCI103,Anahi Espindola,31,122,57,21,27,13,5,5,2,0,2,0,1,3,0
BSCI103,Magdalene Ngeve,21,91,64,34,21,9,6,4,0,0,1,0,4,8,0
BSCI103,Michael Raupp,11,76,100,87,136,63,29,43,12,1,5,1,4,12,0
BSCI103,Tammatha O'Brien,47,212,147,101,128,70,50,24,11,2,7,0,10,21,45
BSCI105,David Kirschtel,4,4,5,12,7,6,8,16,5,5,5,3,3,15,0
BSCI105,James Sniezek,5,94,19,11,28,5,3,1,1,2,0,0,4,43,0
BSCI105,Judd Nelson,47,213,101,65,278,76,51,123,32,11,28,5,21,58,18
BSCI105,Kenneth Frauwirth,9,24,19,24,70,47,40,59,36,16,27,17,23,53,1
BSCI105,Marcia Shofner,5,22,8,9,71,6,6,41,3,0,24,0,10,22,5
BSCI105,Michael Keller,10,269,53,72,433,47,37,203,16,7,41,3,21,61,2
BSCI105,Norma Allewell,22,51,54,49,72,57,42,46,41,15,14,13,12,30,4
BSCI105,Patricia Shields,4,221,1,24,454,0,9,325,4,0,104,0,49,119,6
BSCI105,Reid Compton,28,32,31,37,108,72,46,96,47,5,23,0,44,68,3
BSCI105,William Higgins,13,43,10,12,85,7,15,49,9,0,15,0,16,35,0
BSCI105C,Anne Simon,20,40,1,27,34,19,8,13,5,5,2,0,0,3,1
BSCI105C,Norma Allewell,2,6,9,9,9,5,7,2,2,0,0,0,0,1,0
BSCI105S,Anne Simon,5,22,0,16,13,18,4,9,1,1,2,0,0,2,0
BSCI105S,Norma Allewell,0,3,1,5,5,1,2,1,3,0,0,0,0,0,0
BSCI105S,Patricia Shields,0,4,0,0,3,0,0,1,0,0,1,0,0,1,0
BSCI106,Alexandra Bely,9,52,67,64,96,75,58,63,29,14,31,5,17,38,1
BSCI106,David Inouye,29,65,55,64,120,83,36,114,37,11,36,4,15,27,0
BSCI106,Francisca Saavedra,3,18,20,29,79,36,39,41,19,3,17,6,16,40,0
BSCI106,Irwin Forseth,0,7,12,19,24,27,12,9,11,3,7,0,1,8,0
BSCI106,Jeffrey Firestone,10,17,13,15,30,17,21,27,13,8,11,1,9,18,1
BSCI106,Jeffrey Jensen,8,11,7,13,18,10,15,15,13,0,12,0,3,10,0
BSCI106,Leo Shapiro,1,5,15,16,16,10,2,7,3,0,11,0,3,2,0
BSCI106,Marcia Shofner,19,112,106,121,206,69,53,72,13,2,20,0,12,38,8
BSCI106,Marjorie Reaka,5,5,9,13,17,9,12,6,4,1,3,1,1,4,1
BSCI106,Sara Via,2,15,24,12,35,25,16,29,9,0,8,0,10,14,2
BSCI106C,Alexandra Bely,4,31,19,18,14,15,7,3,2,0,2,0,0,5,0
BSCI106C,Francisca Saavedra,1,4,6,7,8,7,3,1,0,0,0,0,0,0,0
BSCI106C,Irwin Forseth,0,1,6,5,10,11,4,1,4,1,0,0,0,1,0
BSCI106C,Jeffrey Firestone,9,26,9,14,23,17,9,8,2,1,2,0,0,1,1
BSCI106C,Marcia Shofner,2,8,18,6,17,2,4,4,0,0,0,0,1,0,0
BSCI106C,Sara Via,2,27,23,7,31,10,2,17,2,0,5,0,1,1,0
BSCI106H,Alexandra Bely,12,29,26,10,8,4,0,0,0,0,2,0,0,0,0
BSCI106H,Jeffrey Firestone,5,6,3,3,1,2,0,0,0,0,0,0,0,0,1
BSCI106H,Sara Via,3,18,3,3,8,2,0,0,1,0,1,0,0,1,0
BSCI106S,Irwin Forseth,0,2,5,11,11,9,2,1,0,0,0,0,0,1,0
BSCI106S,Jeffrey Firestone,0,13,4,6,11,6,2,2,0,0,0,0,1,0,1
BSCI106S,Marcia Shofner,1,20,25,25,15,6,3,1,2,0,2,0,1,0,0
BSCI106S,Sara Via,0,3,7,2,6,2,2,1,0,0,0,0,0,0,0
BSCI120,Cerruti Hooks,6,9,4,3,3,1,0,0,2,0,0,1,1,0,0
BSCI120,Dennis vanEngelsdorp,44,53,37,32,17,13,9,3,5,2,3,1,7,11,11
BSCI120,Earlene Armstrong,2,15,11,28,13,25,20,11,8,8,1,3,6,12,0
BSCI121,Dennis vanEngelsdorp,16,24,11,14,11,6,1,1,0,1,2,0,0,6,3
BSCI121,John Hellman,3,10,8,4,9,5,3,4,2,0,1,0,0,5,4
BSCI121,Nathalie Steinhauer,6,14,6,2,2,2,2,1,0,0,0,0,0,1,0
BSCI124,Edgar Moctezuma,112,269,233,230,222,190,129,110,60,34,41,23,31,79,140
BSCI125,Edgar Moctezuma,475,719,268,96,46,19,12,6,2,2,0,1,6,62,41
BSCI126,David Hawthorne,147,390,23,29,105,3,5,22,2,0,8,0,8,42,0
BSCI135,Edgar Moctezuma,195,346,283,232,184,103,76,59,35,16,9,8,15,50,5
BSCI145,Bill Lamp,26,29,5,2,6,1,0,0,0,0,0,0,2,1,0
BSCI150,Joelle Presson,61,55,0,6,11,0,4,4,0,0,0,0,0,6,0
BSCI150,Kimberly Paczolt,11,2,1,3,0,2,1,0,1,0,1,0,0,3,0
BSCI151,Philip Johnson,16,66,11,12,21,6,5,4,0,2,3,0,2,5,0
BSCI160,Alexandra Bely,7,20,17,21,21,12,8,12,5,0,4,0,3,9,0
BSCI160,Alys Jarvela,7,22,18,17,21,14,6,15,6,1,2,0,4,8,1
BSCI160,Bill Fagan,12,2,1,9,1,0,7,0,0,7,0,0,3,2,0
BSCI160,Danielle Adams,8,19,14,24,35,18,21,28,3,7,10,4,11,13,0
BSCI160,Emily Bruns,25,47,62,38,46,27,16,19,12,2,4,0,7,16,0
BSCI160,Gerald Wilkinson,1,14,3,8,18,7,13,12,5,3,2,3,5,5,0
BSCI160,Kiersten Newtoff,0,3,0,1,1,0,1,1,0,0,0,0,0,0,0
BSCI160,Leo Shapiro,86,203,219,219,266,210,143,120,95,17,73,0,45,74,38
BSCI160,Magdalene Ngeve,67,123,108,122,131,105,66,66,48,24,13,12,27,37,0
BSCI160,Marcia Shofner,115,393,382,334,504,252,156,175,50,29,27,5,36,89,54
BSCI160,Marjorie Reaka,46,71,83,89,100,41,30,41,15,1,5,1,24,32,28
BSCI160,Mary Ann Rankin,2,2,5,7,3,13,4,5,8,1,4,6,3,6,1
BSCI160,Sarah Lee,2,17,25,21,27,13,13,12,11,3,1,0,5,5,0
BSCI161,Francisca Saavedra,181,317,138,66,45,19,12,12,6,0,14,0,16,50,19
BSCI161,Hans Lemke,298,352,191,83,46,55,12,15,6,3,5,0,14,42,1
BSCI161,Leo Shapiro,216,912,586,293,200,69,39,31,18,0,19,0,35,89,44
BSCI161,Michael Keller,64,279,155,78,35,14,13,9,7,0,6,0,7,24,1
BSCI161C,Francisca Saavedra,46,72,44,7,3,1,3,2,1,0,1,0,1,7,1
BSCI161C,Hans Lemke,149,23,22,8,2,11,1,1,2,0,0,0,0,1,1
BSCI161C,Leo Shapiro,64,240,107,41,18,6,2,1,0,0,1,0,0,4,0
BSCI161C,Michael Keller,18,61,19,3,2,3,0,0,0,0,0,0,1,1,0
BSCI161S,Francisca Saavedra,14,18,3,1,2,1,0,0,0,0,0,0,0,1,0
BSCI161S,Hans Lemke,64,27,4,1,1,5,1,0,0,2,0,0,0,0,0
BSCI161S,Leo Shapiro,19,113,47,19,10,1,0,0,0,0,2,0,0,1,0
BSCI161S,Michael Keller,11,23,11,1,0,0,0,0,0,0,0,0,0,0,0
BSCI170,Anne Simon,16,37,10,22,35,28,22,33,20,13,20,7,40,45,2
