professor,avg_gpa,total_grades
Alan Anderson,3.291869918699187,123
Alan Briggs,3.6388888888888897,162
Alan Dillingham,2.9851239669421488,121
Alan Drew,3.671832884097035,742
Alan Goldenbach,3.0208333333333335,48
Alan Jacobs,3.5425925925925927,108
Alan Kaufman,3.3368669022379263,849
Alan Kelly,3.0999999999999996,9
Alan Lehman,3.249146666666667,3750
Alan Leslie,4.0,18
Alan Miller,3.668,25
Alan Montroso,3.696341463414634,410
Alan Nemeth,3.4297297297297296,74
Alan Neustadtl,3.028743961352657,1242
Alan Peel,3.1795966785290624,4215
Alan Pritchard,3.5355555555555553,90
Alan Siegfried,3.4889273356401382,1445
Alan Sussman,2.826488706365503,487
Alana Ebert-zavos,3.9114285714285715,35
Alana Hackshaw,3.5873831775700933,1070
Alana Murray,3.7596491228070175,57
Alanna Delfino,3.686466165413534,133
Alanna Kopania,3.85,68
Alannah Hensley,3.75531914893617,141
Alavanja Ridge,3.716666666666667,6
Alba Torrents,3.2236686390532547,338
Alba Torrents Capdevila,2.782352941176471,17
Albert Ades,3.393098384728341,681
Albert Calogero,3.4086419753086417,81
Albert Ciafre,3.1056818181818175,88
Albert Crosby,3.4550695825049704,503
Albert Krall,3.9560975609756093,41
Albert Kyle,3.4692792792792795,1110
Albert Rubeling,3.6999999999999997,169
Alberto Belloni,3.11792656587473,463
Alberto Bolatto,3.164628482972136,1292
Alberto Cabrera,3.7690677966101696,236
Alberto Cabrera Casillas,3.93972602739726,73
Alberto Rossi,3.53150912106136,1206
Alberto Segarra,3.263157894736842,19
Alda Benjamen,3.385714285714286,21
Alec Solway,3.480462724935733,389
Alec Worsnop,3.842,450
Alejandra Galarce Diaz,3.811111111111111,18
Alejandra Mercado,3.3081705150976912,1126
Alejandra Montoya Agudelo,2.986046511627907,43
Alejandro Caneque,2.940444444444445,450
Aleks Knoks,2.947457627118644,59
Aleksandra Velgosha,3.895294117647059,85
Aleksandrs Slivkins,3.9538461538461536,13
Aleksey Izotov,4.0,6
Alene Moyer,3.696923076923077,65
Alessandra Buonanno,3.2983050847457624,59
Alessandra Echeverri,3.7961538461538464,26
Alessandra Gavagni,3.6510447761194027,335
Alessandra Palazzo,3.0785714285714287,42
Alessandro Presacco,3.224242424242424,66
Alex Blumenthal,2.5808049535603717,323
Alex Chafitz,3.8850000000000002,20
Alex Donahue,3.6150602409638557,166
Alex Gebhart,3.88,5
Alex Joensen,3.3335999999999997,125
Alex Kalter,4.0,21
Alex Leitch,3.6236208236208225,1287
Alex Lopatka,3.2704918032786887,61
Alex Parkhouse,3.4426597582038,1158
Alex Springer,3.8518518518518516,27
Alex Thomas,3.541578947368421,570
Alexa Duimstra,3.6625,8
Alexa Romberg,3.0105263157894737,114
Alexander Barg,3.153030303030303,528
Alexander Brassel,4.0,25
Alexander Chabot,3.36025641025641,78
Alexander Chen,3.4715384615384615,260
Alexander Chyu,3.988888888888889,27
Alexander Counts,3.339556962025317,316
Alexander D'Esterre,3.845,40
Alexander Dennis,3.7989473684210524,95
Alexander Devereux,3.589024390243902,82
Alexander Dunphy,3.790909090909091,11
Alexander Estes,3.1395833333333334,240
Alexander Flum,3.810526315789473,38
Alexander Glass,3.7583333333333333,12
Alexander Graves,3.5421052631578953,38
Alexander Hess,3.4533333333333336,15
Alexander Kaltenbaugh,3.776190476190476,42
Alexander Mateik,3.961038961038961,77
Alexander Miller,3.616470588235294,85
Alexander Mullen,3.836585365853659,41
Alexander Nagel,3.86,30
Alexander Peace,3.598913043478261,92
Alexander Philippov,3.035384615384615,65
Alexander Poetzschke,4.0,5
Alexander Pyles,3.573052631578947,475
Alexander Roytburd,3.445762711864407,59
Alexander Ruygrok,3.4922094508301407,783
Alexander Sahi,3.8874999999999997,56
Alexander Shackman,3.701721170395869,1162
Alexander Triantis,3.3145251396648048,358
Alexander Wenz,3.4941176470588236,17
Alexander Williams,3.346468401486989,538
Alexander Willie,3.8945945945945946,37
Alexandra Bely,3.2450142450142443,1404
Alexandra Boo,3.470175438596491,57
Alexandra Bryant,2.6999999999999997,18
Alexandra Calloway,3.62643216080402,995
Alexandra Gibson,3.1745454545454543,55
Alexandra Grimm,3.7855855855855856,111
Alexandra Harlig,3.9511999999999996,250
Alexandra Jones,3.598863636363636,440
Alexandra Krauska,3.716666666666667,6
Alexandra List,3.256707317073171,164
Alexandra Lord,3.755555555555555,9
Alexandra Miller,2.976190476190476,21
Alexandra Newman,3.65,16
Alexandra Omogbadegun,3.391891891891892,37
Alexandra Philipon,3.011111111111111,54
Alexandra Portney,3.618181818181818,33
Alexandra Savela,3.723684210526316,38
Alexandra Shelton,3.6666666666666665,27
Alexandria Nunn,3.480904522613065,199
Alexandria Travis,3.7425531914893613,47
Alexandru Cernat,3.4840000000000004,25
Alexey Aliev,3.2220895522388058,670
Alexey Gorshkov,3.912621359223301,103
Alexey Stepanov,3.15,120
Alexis Aduba,3.9105263157894736,19
Alexis Boleda,3.430894308943089,123
Alexis Foley,3.8654618473895583,249
Alexis Li,3.5421052631578944,19
Alexis Lothian,3.8283505154639172,388
Alexis Martone,3.1244444444444444,45
Alexis Pappadeas,3.927777777777778,18
Alexis Walston,3.6384615384615384,65
Alexis Williams,3.9015414258188827,1038
Alexis Young,3.814285714285714,14
Alfonso Alfini,3.55,30
Alfonso Callejo,2.9066666666666667,45
Alfonso Narvaez,3.924137931034483,29
Alfonso Ventoso,3.6651685393258426,89
Alfred Moss,3.2144000000000004,125
Alfred Tetrault,3.5194805194805197,154
Alfredo Nava-Tudela,3.85,4
Ali Abasi,3.6276497695852536,217
Ali Faraji-Rad,3.58745247148289,526
Ali Goldstein,3.54025974025974,77
Ali Haghani,2.8969600000000004,1250
Ali Heller,3.712621359223301,103
Ali Karamustafa,3.533333333333333,3
Ali Kuczka,3.2324324324324327,37
Ali Mosleh,3.69625,80
Ali Namazi,3.766666666666667,24
Ali Pilehvar,3.1714285714285713,35
Ali Selvi,3.6608695652173915,23
Ali Shafahi,3.106060606060606,66
Alia Lancaster,3.75925925925926,27
Alice Cook,3.892424242424242,132
Alice Donlan,3.386445012787724,391
Alice Mignerey,2.794060667856233,3923
Alice Mitchell,3.94,20
Alice Olmstead,3.5630434782608695,92
Alice Wang,2.7264227642276424,246
Alicia Grant,3.90625,16
Alicia Kollar,3.109523809523809,189
Alicia Lee,3.1058608058608055,273
Alicia Montague,3.501785714285714,56
Alicia Thomas,3.905333333333333,225
Alicia Volk,2.8651351351351355,370
Alicia Woolf,3.946774193548387,62
Alina Maki,3.5999999999999996,84
Alireza Khaligh,3.2750000000000004,688
Alireza Vaziri Rahimi,3.408823529411765,68
Alisa Clyne,3.356493506493506,308
Alisa Hardy,3.5062500000000005,208
Alisa Williams,3.8256756756756753,74
Alisha Butler,3.85,4
Alison Barlow,3.7743315508021387,374
Alison Boyd,3.9125,8
Alison Burns,3.8788732394366194,639
Alison Flatau,3.7174953959484345,543
Alison Heller,2.9277777777777776,18
Alison Hennessee,3.4642857142857144,14
Alison Jovanovic,3.871165644171779,163
Alison Miller,3.505645161290322,124
Alison Mojto,3.915555555555556,45
Alison Robey,3.7024561403508773,285
Alison Singer,3.4803030303030305,132
Alison Volski,3.8681818181818177,22
Alix Kowalski,3.223809523809524,21
Aliza Sandalon,3.8755905511811024,254
Alka Gandhi,2.5010072747621708,1787
Alkan Soysal,3.142857142857143,28
Alla Levin,3.459148936170213,235
Allan Davis,3.196969696969697,66
Allan Doctor,3.8375,8
Allan Drazen,3.0923250564334084,443
Allan Laino,4.0,20
Allan McCutcheon,3.566666666666667,15
Allan Wigfield,3.54,420
Allan Yashinski,2.9645099448837775,4173
Allen Davis,2.725124792013311,601
Allen Eney,3.8366771159874604,638
Allen Graham,4.0,25
Allen Hazelton,3.296762589928058,278
Allen Keiswetter,3.586486486486486,37
Allen Place,3.888888888888889,63
Allen Schick,3.6115384615384616,234
Allen Stairs,3.0840697674418607,1720
Allen Winkelmann,3.113099707968294,2397
Allison Baer,3.096946564885496,131
Allison Bayley,3.1903686087990493,841
Allison Berland,3.764688427299703,337
Allison Bredder,3.6736842105263157,19
Allison Chatham,3.5516806722689074,238
Allison Doherty,3.6613636363636366,132
Allison Durbin,3.761764705882353,68
Allison Finkelstein,3.494444444444445,18
Allison Frick,3.742857142857143,28
Allison Gibeily,3.919047619047619,21
Allison Hanley,3.6111111111111103,36
Allison Hedges,3.329906542056075,107
Allison Key,3.95625,16
Allison LaFave,3.923529411764706,17
Allison Lansverk,3.980503144654089,159
Allison Meisch,3.586666666666666,45
Allison Nederveld,3.934117647058823,85
Allison Patch,3.988,50
Allison Reilly,3.1879032258064517,248
Allison Ring,3.5595238095238093,42
Allison Schroeder,3.2552631578947366,152
Allison Tjaden,3.619678714859438,249
Allison Wyss,2.9776470588235293,85
Allynn Powell,3.627272727272728,11
Allyson Ettinger,3.8733333333333335,15
Allyson Pakstis,3.5918660287081337,209
Allyson Toronto,3.7875,8
Allyson Yawman,3.78780487804878,41
Alok Bhargava,3.5329896907216494,194
Alvaro Bellido De Luna,2.893333333333333,30
Alvaro La Parra Perez,2.7496732026143795,153
Alvaro Pedraza,2.9787709497206705,179
Alvaro Villar Cobo,3.5119999999999996,75
Alvin Mayes,3.627731092436975,476
Alvin Yew,3.5026315789473683,38
Alvin Zumbrun,3.3164634146341467,164
Alys Jarvela,3.110526315789474,152
Alysia Sawchyn,3.3214285714285716,322
Alyson Farzad,3.6493827160493826,243
Alyson Santoro,3.7625,8
Alyssa Bower,3.7916666666666665,12
Alyssa Brooks,3.5688888888888886,405
Alyssa Cohen Sherman,3.4333333333333336,24
Alyssa Imes,3.3894736842105266,19
Alyssa Neuner,3.902097902097902,143
Alyssa Parker,4.0,7
Alyssa Ryan,3.8269230769230775,26
Alyssa Samek,2.687723214285714,448
Ama Law,3.8434027777777775,288
Amador Jomuad,2.5432203389830508,118
Amalia Gnanadesikan,3.3307692307692305,13
Amanda Allen,3.2875444839857653,1124
Amanda Antico-Majkowski,3.858260869565217,115
Amanda Bachert,3.745051194539249,293
Amanda Bailey,3.03778801843318,434
Amanda Baker,3.470212765957447,47
Amanda Berger,2.9681818181818183,66
Amanda Bogdan,4.0,13
Amanda Burkholder,3.810526315789474,19
Amanda Cataneo,3.585,20
Amanda Chen,3.7125,24
Amanda Chicoli,3.498199356913184,1555
Amanda Click,3.730769230769231,13
Amanda Clougherty,3.94,5
Amanda Consol,3.926315789473684,38
Amanda Delaney,2.652173913043478,23
Amanda Dennis,3.8780487804878048,82
Amanda Dewey,3.0786570743405273,417
Amanda Dykema,3.1974358974358976,78
Amanda Even,3.8402777777777777,72
Amanda Fair,3.9339999999999997,50
Amanda Finney,3.84375,64
