stop_id,title,lat,long,stop_title
metzgree_in,Metzerott Rd and University Blvd (Inbound),39.0008996,-76.9447876,Metzerott Rd and University Blvd (Inbound)
painrege_bus,Paint Branch Dr and Regents Dr (Bus Shelter),38.993499,-76.9373896,Paint Branch Dr and Regents Dr (Bus Shelter)
painstad,Paint Branch Dr and Stadium Dr,38.9902898,-76.9373,Paint Branch Dr and Stadium Dr
acphys,River Road and Rivertech Court,38.969956,-76.927107,River Road and Rivertech Court
acphys_elli,American Center for Physics,38.9718215,-76.9301382,American Center for Physics
rayt,Raytheon,38.9683562,-76.9283283,Raytheon
collpark,College Park Academy,38.9682907,-76.9279223,College Park Academy
diviofit,Division of IT,38.9691729,-76.9232474,Division of IT
msqua,M-Square,38.9707579,-76.922991,M-Square
usda,USDA,38.9698863,-76.9261352,USDA
rrmshel,River Road at American Center for Physics,38.9722046,-76.9283434,River Road at American Center for Physics
cher9348,Seven Springs Apts at 9348 Cherry Hill Rd,39.016946,-76.9393952,Seven Springs Apts at 9348 Cherry Hill Rd
ssvill,Seven Springs Apts at 9310 Cherry Hill Rd,39.0159991,-76.9394283,Seven Springs Apts at 9310 Cherry Hill Rd
cher9308,Seven Springs Apts at 9308 Cherry Hill Rd,39.0178782,-76.9376829,Seven Springs Apts at 9308 Cherry Hill Rd
stamsuhh_d,Stamp Student Union - Slip,38.9874519,-76.9440396,Stamp Student Union - Slip
univtula,University Blvd and Tulane Dr,38.9853988,-76.9588032,University Blvd and Tulane Dr
univshop_out,University Blvd at Adelphi Plaza,38.9846405,-76.9671043,University Blvd at Adelphi Plaza
univguil_out,University Blvd at Campus Gardens,38.984079,-76.9730672,University Blvd at Campus Gardens
univrigg_out,University Blvd and Riggs Rd (Outbound),38.9845483,-76.9803602,University Blvd and Riggs Rd (Outbound)
univ14th,University Blvd and 14th Ave,38.9880237,-76.98621,University Blvd and 14th Ave
univrite,Takoma-Langley Crossroads Transit Center (Outbound),38.989844,-76.9885876,Takoma-Langley Crossroads Transit Center (Outbound)
merrilock,Merrimac Dr and Lockney Ave,38.99242,-76.99214,Merrimac Dr and Lockney Ave
carrchest,Carroll Ave and Chester St,38.9899268,-76.9935629,Carroll Ave and Chester St
carrglen,Carroll Ave and Glenside Dr,38.9879584,-76.994382,Carroll Ave and Glenside Dr
carrgarl,Caroll Ave and Garland Ave (Outbound),38.9862204,-76.9963195,Caroll Ave and Garland Ave (Outbound)
flowcarr,Flower Ave and Carroll Ave (Outbound),38.9853069,-76.9988477,Flower Ave and Carroll Ave (Outbound)
flowdivi,Flower Ave at Washington Adventist University (Outbound),38.9867605,-76.9998514,Flower Ave at Washington Adventist University (Outbound)
flowkenne,Flower Ave and Kennebec Ave (Outbound),38.9895808,-77.0013728,Flower Ave and Kennebec Ave (Outbound)
flowhuds,Flower Ave and Hudson (Outbound),38.9924554,-77.0021792,Flower Ave and Hudson (Outbound)
flowdome,Flower Ave and Domer Ave (Outbound),38.9966735,-77.0031553,Flower Ave and Domer Ave (Outbound)
flowplym,Flower Ave and Plymouth St,39.00156,-77.00454,Flower Ave and Plymouth St
waynslig_out,Wayne Ave and Sligo Creek Pkwy (Outbound),38.9996595,-77.0104152,Wayne Ave and Sligo Creek Pkwy (Outbound)
wayndale_out,Wayne Ave and Dale Dr (Outbound),38.9993802,-77.0172814,Wayne Ave and Dale Dr (Outbound)
waynwhol,Wayne Ave and Fenton St (Outbound),38.9959666,-77.0235453,Wayne Ave and Fenton St (Outbound)
ssmetro,Silver Spring Metro Station,38.993673,-77.029742,Silver Spring Metro Station
waynfent,Wayne Ave and Fenton St (Inbound),38.9952298,-77.0245902,Wayne Ave and Fenton St (Inbound)
wayndale_in,Wayne Ave and Dale Dr (Inbound),38.9992414,-77.0177496,Wayne Ave and Dale Dr (Inbound)
waynslig_in,Wayne Ave and Manchester Place (Inbound),39.0016406,-77.0077193,Wayne Ave and Manchester Place (Inbound)
flowplym_in,Flower Ave and Plymouth St (Inbound),39.001575,-77.0046644,Flower Ave and Plymouth St (Inbound)
flowdome_in,Flower Ave and Domer Ave (Inbound),38.9962614,-77.0031528,Flower Ave and Domer Ave (Inbound)
flowhuds_in,Flower Ave and Hudson (Inbound),38.9925543,-77.00228,Flower Ave and Hudson (Inbound)
flowkenn_in,Flower Ave and Kennebec (Inbound),38.9897144,-77.0015479,Flower Ave and Kennebec (Inbound)
flowdivi_inn,Flower Ave at Washington Adventist University (Inbound),38.9870475,-77.0001883,Flower Ave at Washington Adventist University (Inbound)
flowcarr_in,Flower Ave and Carroll Ave (Inbound),38.9852146,-76.9989177,Flower Ave and Carroll Ave (Inbound)
carrgarl_in,Carroll Ave and Garland Ave (Inbound),38.9862373,-76.9961839,Carroll Ave and Garland Ave (Inbound)
carranne_in,Carroll Ave and Anne St,38.9876429,-76.994607,Carroll Ave and Anne St
carrwild_in,Carroll Ave and Wildwood Dr,38.9897314,-76.9935114,Carroll Ave and Wildwood Dr
merriuniv,Merrimac Dr and University Blvd,38.9924899,-76.99173,Merrimac Dr and University Blvd
univhamp,Takoma-Langley Crossroads Transit Center (Inbound),38.990052,-76.988171,Takoma-Langley Crossroads Transit Center (Inbound)
univ15th,University Blvd and 15th Ave,38.9852516,-76.9818874,University Blvd and 15th Ave
univhech,University Blvd and Riggs Road (Inbound),38.9834699,-76.9776816,University Blvd and Riggs Road (Inbound)
univ25th_in,University Blvd and 25th Ave,38.9844296,-76.9674135,University Blvd and 25th Ave
univgrad,University Blvd at Graduate Hills,38.9853553,-76.9578695,University Blvd at Graduate Hills
cspa_main,Stadium Drive and University Boulevard,38.991756,-76.950237,Stadium Drive and University Boulevard
stadgara,Stadium Drive Garage,38.9917469,-76.9475442,Stadium Drive Garage
stadvtho,Varsity Team House,38.9906015,-76.9454061,Varsity Team House
gradhill,Adelphi Rd at Graduate Hills Apts,38.9846606,-76.9555421,Adelphi Rd at Graduate Hills Apts
adelwell_out,Adelphi Rd and Wells Blvd,38.9795417,-76.9545905,Adelphi Rd and Wells Blvd
adel_nwhs,Adelphi Rd at Northwestern HS,38.9754953,-76.952102,Adelphi Rd at Northwestern HS
toleadel,Toledo Rd and Adelphi Rd,38.97007,-76.9497998,Toledo Rd and Adelphi Rd
tolebelc,Toledo and Belcrest Rd (Outbound),38.96991,-76.9532842,Toledo and Belcrest Rd (Outbound)
targ,The Mall at Prince George's,38.96821,-76.95417,The Mall at Prince George's
pgmetro_out,Prince George's Plaza Metro Station (Outbound),38.9658812,-76.954134,Prince George's Plaza Metro Station (Outbound)
39thquee,Queensbury Rd and 39th Pl,38.96391,-76.9503707,Queensbury Rd and 39th Pl
42ndquee,42nd Ave and Queensbury Rd,38.9635641,-76.9462603,42nd Ave and Queensbury Rd
42ndogle,42nd Ave and Oglethorpe St,38.9596743,-76.9465446,42nd Ave and Oglethorpe St
42ndmadi,42nd Ave and Madison St,38.9580062,-76.9467596,42nd Ave and Madison St
42ndjeff,42nd Ave and Jefferson St,38.9553894,-76.9457762,42nd Ave and Jefferson St
42ndfarr,Farragut St and 42nd Pl,38.9517499,-76.944358,Farragut St and 42nd Pl
farrrhod,Farragut St and Rhode Island Ave,38.95166,-76.94123,Farragut St and Rhode Island Ave
baltgall,Baltimore Ave and Gallatin St,38.9530736,-76.9404606,Baltimore Ave and Gallatin St
balthami,Baltimore Ave and Hamilton St,38.9542751,-76.9403194,Baltimore Ave and Hamilton St
baltlong,Baltimore Ave and Longfellow St,38.9567242,-76.9400419,Baltimore Ave and Longfellow St
