stop_id,title
belctole,Toledo Rd and Belcrest Rd (Inbound)
adeltole,Adelphi Rd and Toledo Rd
adelvbur,Adelphi Rd and Van Buren St
adelwell_in,Adelphi Rd and Wells Pkwy (Inbound)
adeltula,Adelphi Rd and Campus Dr
collpksh,College Park Shopping Ctr (Outbound)
baltritc,Ritchie Coliseum
univview,University View
baltvars,Baltimore Ave at The Varsity
mcirc,Campus Dr at M Circle
lot1,Union Dr at Lot 1b
cspac,Valley Drive at Stadium Drive Garage
elk,Elkton Hall
hage,Hagerstown Hall
laplat,La Plata Hall
varhous,Varsity Team House
stadatl,Stadium Drive at Atlantic Building
mitc_out,Mitchell Building (Outbound)
memo_out,Memorial Chapel (Outbound)
mont_out,Montgomery Hall (Outbound)
baltritc_s,Ritchie Coliseum
mcirc_s,Campus Dr at M Circle
hoff,Hoff Theater
uniofiel,Union Ln and Fieldhouse Dr
biofield,BioSciences Research Building
cour300,Courtyards #300
cour400,Courtyards #400
gree,Greenmeade Dr at Maryland 4-H (Inbound)
lot4i_r,Paint Branch Dr at Lot 4b (Inbound)
univclub,University Club Apartments
varsity,Baltimore Ave at The Varsity
dent,Denton Hall
tula3424,Graduate Hills at 3424 Tulane Dr
tula3410,Graduate Hills at 3410 Tulane Dr
tula3403,Graduate Hills at 3404 Tulane Dr
camplot19,Campus Dr at UMUC Lot 19
univbapt,University Methodist Church
hillmunc,Van Munching Hall (Inbound)
lds,LDS Institute of Religion
sccomm1_2,South Campus Commons 1 & 2
4315rwlt,Graduate Gardens at 4315 Rowalt Dr
4327rwlt,Graduate Gardens at 4327 Rowalt Dr
balthart_in,Baltimore Ave and Hartwick Rd (Inbound)
shoebuil,Shoemaker Building
loty,Lot Y and Chapel Dr
painstad_r,Glenn L. Martin Wind Tunnel
avwill,A.V. Williams Building
techpain,Paint Branch Dr and Technology Dr
camb,Cambridge Hall (Outbound)
cumber,Cumberland Hall
stamsu_m,Stamp Student Union - Slip
knoxyale,Knox Road and Yale Avenue
prinknox,Knox Rd and Princeton Ave
hopkknox,Knox Rd and Hopkins Ave
knoxrhod,Knox Rd and Rhode Island Ave
rhodcoll,Rhode Island Ave & College Ave
rhodnorw_s,Rhode Island Ave and Norwich Rd
rossrhod,Rossborough Ln and Rhode Island Ave
5frat,Fraternity Row #5
leoncomm_out,Leonardtown Community Center
11frat,Fraternity Row #11
yalecoll,Yale Ave and Lehigh Rd
yaleknox_ib,Yale Avenue and Knox Road
collpksh_ib,College Park Shopping Center (Inbound)
scam34,South Campus Commons 3 and 4
sccomm5_6,South Campus Commons 5 and 6
lota,Preinkert Drive at Lot A
somehall,Somerset Hall
annearun,Anne Arundel Hall
dorchall,Dorchester Hall
univshad,The Universities at Shady Grove
univpkth,Baltimore Ave at University Park Town Hall
baltrive_out,Baltimore Avenue at Riverdale Park Station (Outbound)
baltunde,Baltimore Ave and Underwood St
ewhwbeal,East-West Hwy and W Beale Cir
ewhwtayl_out,East-West Hwy and Taylor Rd (Outbound)
rivd63rd,Riverdale Rd and 63rd Ave
riveeast,Riverdale Rd and Eastpine Dr
rive67th,Riverdale Rd and 67th Ave
riveaubu,Riverdale Rd and Auburn Ave
rivemart,Riverdale Rd and Martins Ln
rivefinn,Riverdale Rd and Finns Ln
rivelamo,Riverdale Rd and Lamont Dr
founclap,Riverdale Rd at Fountain Club Apartments
rivemaho,Riverdale Rd and Mahoney Dr
herisqap,Riverdale Rd at Heritage Square Apartments
annarive,Annapolis Rd and Riverdale Rd
harkanna,Harkins Rd and Annapolis Rd
ncarmetr,New Carrollton Metro Station
lenocrap,85th Ave at Lenox Court Apartments
carrmnap,85th Ave at Carrollton Manor Apartments
long85th,85th Ave and Longfellow St
lega85th,85th Ave and Legation St
westmadi,Westbrook Dr and Madison St
westogle,Westbrook Dr and Oglethorpe St
westpowh,Westbrook Dr and Powhatan St
westlamo,Westbrook Dr and Lamont Dr
lamolarc,Lamont Dr and Larchwood St
lamocarr,Lamont Dr and Carrollton Pkwy
lamoquen,Lamont Dr and Quentin St
