name,code,id,long,lat
Health Center,,140,-76.94474606,38.9872158
Heavy Equipment Building,,216,-76.93382487,38.98591735
Herbert Wells Ice Rink,,F07,-76.923644,38.97594655
Holzapfel Hall (Horticulture),HZF,74,-76.94188937,38.98687755
Hope Lutheran Church,,C103,-76.94404169,38.98023825
Hornbake Library,HBK,147,-76.94157409,38.9881767
Horse Barn,,108,-76.94080366,38.9916839
Howard Hall (Residence Hall),HOW,28,-76.9419728,38.98196065
HVAC Building,,56,-76.9437313,38.9883195
Indoor Practice Facility,,309,-76.95438089,38.9896622
Institute for Physical Science and Technology,IPT,85,-76.94097235,38.9909191
Institute for Physical Science and Technology Storage,IPT,86,-76.94128295,38.9908276
Instructional Television Facility,ITV,45,-76.9383093,38.98957525
J. Logan and Louise Schutz Football Practice Complex,,D100,-76.9441988,38.9902169
J.H. Kehoe Track and Ludwig Field,,388,-76.95057119,38.9878761
J.M. Patterson Building,JMP,83,-76.94029541,38.9905177
Jeong H. Kim Engineering Building,KEB,225,-76.93802559,38.9909099
Jimenez Hall,JMZ,34,-76.94455005,38.9867867
Jull Hall,JUL,227,-76.9435848,38.99087705
Kappa Alpha Fraternity,,126,-76.93667155,38.98468565
Kent Hall (Residence Hall),KNT,22,-76.94184337,38.98324525
Knight Hall,KNI,417,-76.9484189,38.98677255
Laboratory for Physical Sciences,,F09,-76.9439779,39.00369935
Laboratory for Telecommunications Sciences,,F10,-76.9436183,39.00494075
Lamda Chi Alpha Fraternity,,132,-76.93402756,38.98394255
LaPlata Beach,,D101,-76.94498787,38.9925556
LaPlata Hall (Residence Hall),LPA,259,-76.94589071,38.9924497
LEAFHouse,,F11,-76.94137829,38.9996436
Lee Building,,71,-76.9395264,38.9853629
LeFrak Hall,LEF,38,-76.94363479,38.9836849
Leonardtown Community Center,,250,-76.93346233,38.9833564
Leonardtown Housing,,238,-76.93297206,38.98288495
Leonardtown Housing 12,,249,-76.93323497,38.98369045
Leonardtown Housing1,,248,-76.93340633,38.98395015
Leonardtown Housing10,,239,-76.93282956,38.98259145
Leonardtown Housing12,,244,-76.93378423,38.9848148
Leonardtown Housing2,,242,-76.93208439,38.9826975
Leonardtown Housing3,,249,-76.93322662,38.98369225
Leonardtown Housing4,,247,-76.9330953,38.9842544
Leonardtown Housing5,,246,-76.9335418,38.98432445
Leonardtown Housing6,,245,-76.93339594,38.9846063
Leonardtown Housing7,,243,-76.93206091,38.98295505
Leonardtown Housing8,,241,-76.9322669,38.98256985
Leonardtown Housing9,,240,-76.93259341,38.98269485
Leonardtown Office Building,,201,-76.93243056,38.9837051
Lot,,P117,-76.9466368,38.99133375
Main Administration Building,,77,-76.93980935,38.9860173
Manufacturing Building,,148,-76.93943572,38.99286495
Marie Mount Hall,MMH,46,-76.94075799,38.9850013
Martin Hall,EGR,88,-76.93797441,38.9888688
Mathematics Building,MTH,84,-76.93906881,38.98862265
McKeldin Library,MCK,35,-76.94510047,38.98598155
McKeldin Mall,MKM,D106,-76.94226852,38.9859886
Memorial Chapel,,9,-76.94086613,38.98415015
Metro Parking Garage,,P255,-76.92753802,38.97901515
MFRI Drill Tower,,195,-76.92990672,38.983559
MFRI Fire Extinguisher Training Facility,,194,-76.92877419,38.98401155
MFRI Office/Classroom Building,,199,-76.92885947,38.98332815
MFRI Structural Firefighting Building,,196,-76.92830415,38.98365305
Microbiology Building,MCB,231,-76.94340344,38.98811525
Mitchell Building,,52,-76.93956513,38.98670195
Montgomery Hall (Residence Hall),MNT,32,-76.93967534,38.9820505
Morrill Hall,MOR,40,-76.94417379,38.9843126
Motor Transportation Facility,,11,-76.93362881,38.98618425
Motorcycle Storage Building,,20,-76.93613074,38.98564745
Mowatt Lane Parking Garage,,404,-76.94557478,38.98182585
Mowatt Lane Substation,,400,-76.9477371,38.98371275
Neutral Buoyancy Research Facility,,382,-76.93898102,38.99288895
NOAA Center for Weather and Climate Prediction,,F04,-76.92471409,38.97199165
Nyumburu Cultural Center,NCC,232,-76.94380579,38.9881339
Oakland Hall (Residence Hall),,419,-76.94922268,38.9938547
Paint Branch Drive Visitors Lot,,P194,-76.93766521,38.99197045
Parking Lot 11b,,P100,-76.9362204,38.9937827
Parking Lot 11c,,P101,-76.93793265,38.99389735
Parking Lot 11h,,P102,-76.9353552,38.98254495
Parking Lot 15,,P103,-76.93575556,38.9810048
Parking Lot 16a,,P104,-76.93612975,38.98352975
Parking Lot 16b,,P105,-76.93646421,38.9830317
Parking Lot 16c,,P106,-76.93198549,38.98323445
Parking Lot 16d,,P107,-76.9323682,38.98234055
Parking Lot 16e,,P108,-76.93329416,38.982799
Parking lot 16f,,P109,-76.93390502,38.9831728
Parking Lot 16h,,P110,-76.93153661,38.98314145
Parking Lot 19,,P253,-76.94504517,38.98196015
Parking Lot 1b,,P111,-76.94944084,38.9870827
Parking Lot 1d,,P112,-76.95065243,38.9861006
Parking Lot 2a,,P113,-76.94815862,38.99420335
Parking Lot 2b,,P114,-76.95054592,38.9931883
Parking Lot 2c,,P115,-76.94777565,38.99230265
Parking Lot 2d,,P116,-76.94553761,38.99238785
Parking Lot 2f,,P118,-76.94149936,38.99257355
Parking Lot 2g,,P236,-76.94728878,38.99440375
